Time,Concentration
11:26:30,7266
11:26:31,7288
11:26:32,7418
11:26:33,7639
11:26:34,7416
11:26:35,7547
11:26:36,7149
11:26:37,6743
11:26:38,6789
11:26:39,6825
11:26:40,6477
11:26:41,6132
11:26:42,6158
11:26:43,5647
11:26:44,5765
11:26:45,5770
11:26:46,5618
11:26:47,5555
11:26:48,5965
11:26:49,5823
11:26:50,6102
11:26:51,5990
11:26:52,6404
11:26:53,6466
11:26:54,5845
11:26:55,5435
11:26:56,5258
11:26:57,5350
11:26:58,5264
11:26:59,5044
11:27:00,5294
11:27:01,5343
11:27:02,5039
11:27:03,5534
11:27:04,5245
11:27:05,4829
11:27:06,5158
11:27:07,5178
11:27:08,4926
11:27:09,4924
11:27:10,5144
11:27:11,5299
11:27:12,5245
11:27:13,5314
11:27:14,5320
11:27:15,5231
11:27:16,5118
11:27:17,5421
11:27:18,5604
11:27:19,5751
11:27:20,5470
11:27:21,5698
11:27:22,5647
11:27:23,6019
11:27:24,6185
11:27:25,6361
11:27:26,7694
11:27:27,7699
11:27:28,7039
11:27:29,6689
11:27:30,7507
11:27:31,7709
11:27:32,7337
11:27:33,7080
11:27:34,6886
11:27:35,6974
11:27:36,7157
11:27:37,6898
11:27:38,7117
11:27:39,8214
11:27:40,7675
11:27:41,7029
11:27:42,8885
11:27:43,7807
11:27:44,7443
11:27:45,7227
11:27:46,6371
11:27:47,7492
11:27:48,11760
11:27:49,12686
11:27:50,12920
11:27:51,14962
11:27:52,16053
11:27:53,15447
11:27:54,16069
11:27:55,15589
11:27:56,15225
11:27:57,13552
11:27:58,12410
11:27:59,11754
11:28:00,10470
11:28:01,10855
11:28:02,11841
11:28:03,9289
11:28:04,8365
11:28:05,7874
11:28:06,7940
11:28:07,7535
11:28:08,7653
11:28:09,8319
11:28:10,8736
11:28:11,9033
11:28:12,8533
11:28:13,8814
11:28:14,9003
11:28:15,9804
11:28:16,8943
11:28:17,9577
11:28:18,9374
11:28:19,9753
11:28:20,9556
11:28:21,9108
11:28:22,8748
11:28:23,8315
11:28:24,10276
11:28:25,15811
11:28:26,19503
11:28:27,15332
11:28:28,13907
11:28:29,9815
11:28:30,9732
11:28:31,10806
11:28:32,12512
11:28:33,10195
11:28:34,9585
11:28:35,13097
11:28:36,9391
11:28:37,6688
11:28:38,6171
11:28:39,6028
11:28:40,13142
11:28:41,20626
11:28:42,23376
11:28:43,22234
11:28:44,18922
11:28:45,14629
11:28:46,14142
11:28:47,14215
11:28:48,13257
11:28:49,10918
11:28:50,10114
11:28:51,9184
11:28:52,8020
11:28:53,6906
11:28:54,5781
11:28:55,5030
11:28:56,5424
11:28:57,4985
11:28:58,5169
11:28:59,8117
11:29:00,6488
11:29:01,4973
11:29:02,4625
11:29:03,4659
11:29:04,4609
11:29:05,4675
11:29:06,4849
11:29:07,4928
11:29:08,4591
11:29:09,4833
11:29:10,4875
11:29:11,4872
11:29:12,4912
11:29:13,4824
11:29:14,4880
11:29:15,10965
11:29:16,22772
11:29:17,14150
11:29:18,6618
11:29:19,5187
11:29:20,4663
11:29:21,4604
11:29:22,4373
11:29:23,4339
11:29:24,4415
11:29:25,4224
11:29:26,4278
11:29:27,4139
11:29:28,4262
11:29:29,4777
11:29:30,5180
11:29:31,4550
11:29:32,4295
11:29:33,4356
11:29:34,4540
11:29:35,4592
11:29:36,4431
11:29:37,4423
11:29:38,4430
11:29:39,4510
11:29:40,4361
11:29:41,4499
11:29:42,4589
11:29:43,4496
11:29:44,4718
11:29:45,4933
11:29:46,5192
11:29:47,4743
11:29:48,4459
11:29:49,4442
11:29:50,4431
11:29:51,4481
11:29:52,4647
11:29:53,4597
11:29:54,4561
11:29:55,4383
11:29:56,4531
11:29:57,4445
11:29:58,4459
11:29:59,4437
11:30:00,4398
11:30:01,4619
11:30:02,4642
11:30:03,4568
11:30:04,4605
11:30:05,4996
11:30:06,5357
11:30:07,5784
11:30:08,6581
11:30:09,6389
11:30:10,6581
11:30:11,6483
11:30:12,6528
11:30:13,6997
11:30:14,6942
11:30:15,6136
11:30:16,6147
11:30:17,6108
11:30:18,6632
11:30:19,6905
11:30:20,6939
11:30:21,7380
11:30:22,8007
11:30:23,8284
11:30:24,8269
11:30:25,8714
11:30:26,8617
11:30:27,8725
11:30:28,9189
11:30:29,9324
11:30:30,9376
11:30:31,9307
11:30:32,9020
11:30:33,8763
11:30:34,9348
11:30:35,9568
11:30:36,9506
11:30:37,9733
11:30:38,10213
11:30:39,10628
11:30:40,11019
11:30:41,11572
11:30:42,11469
11:30:43,11910
11:30:44,11926
11:30:45,11766
11:30:46,12021
11:30:47,13350
11:30:48,14039
11:30:49,14592
11:30:50,12597
11:30:51,11917
11:30:52,11636
11:30:53,11143
11:30:54,11664
11:30:55,12253
11:30:56,16777200
11:30:57,16777200
11:30:58,16777200
11:30:59,16777200
11:31:00,16777200
11:31:01,16777200
11:31:02,16777200
11:31:03,16777200
11:31:04,16777200
11:31:05,16777200
11:31:42,6619
11:31:43,6632
11:31:44,6920
11:31:45,7182
11:31:46,7128
11:31:47,7078
11:31:48,7212
11:31:49,7225
11:31:50,7423
11:31:51,7479
11:31:52,7597
11:31:53,7572
11:31:54,7737
11:31:55,7411
11:31:56,7361
11:31:57,7371
11:31:58,7190
11:31:59,6600
11:32:00,6881
11:32:01,6827
11:32:02,7004
11:32:03,8300
11:32:04,7665
11:32:05,7665
11:32:06,7280
11:32:07,6834
11:32:08,6921
11:32:09,7266
11:32:10,7670
11:32:11,7377
11:32:12,7277
11:32:13,6594
11:32:14,5610
11:32:15,5150
11:32:16,4931
11:32:17,5394
11:32:18,5301
11:32:19,5263
11:32:20,5214
11:32:21,5361
11:32:22,5189
11:32:23,5220
11:32:24,6814
11:32:25,7258
11:32:26,6917
11:32:27,5223
11:32:28,4390
11:32:29,4092
11:32:30,3856
11:32:31,3842
11:32:32,3774
11:32:33,3728
11:32:34,3746
11:32:35,3737
11:32:36,3819
11:32:37,3858
11:32:38,3861
11:32:39,3930
11:32:40,3872
11:32:41,3848
11:32:42,3937
11:32:43,3850
11:32:44,4867
11:32:45,17760
11:32:46,22200
11:32:47,32216
11:32:48,34873
11:32:49,15742
11:32:50,8667
11:32:51,6023
11:32:52,6083
11:32:53,6279
11:32:54,9875
11:32:55,15215
11:32:56,7944
11:32:57,7920
11:32:58,8282
11:32:59,7445
11:33:00,8125
11:33:01,7583
11:33:02,5784
11:33:03,4776
11:33:04,4260
11:33:05,5014
11:33:06,6996
11:33:07,16054
11:33:08,13420
11:33:09,13157
11:33:10,16953
11:33:11,14791
11:33:12,9392
11:33:13,10222
11:33:14,11262
11:33:15,6360
11:33:16,5455
11:33:17,4789
11:33:18,5373
11:33:19,7218
11:33:20,5692
11:33:21,5518
11:33:22,5680
11:33:23,5380
11:33:24,5410
11:33:25,5796
11:33:26,6542
11:33:27,9260
11:33:28,11358
11:33:29,8566
11:33:30,11169
11:33:31,10443
11:33:32,10965
11:33:33,9349
11:33:34,12673
11:33:35,14024
11:33:36,12578
11:33:37,5854
11:33:38,6160
11:33:39,4515
11:33:40,4390
11:33:41,4214
11:33:42,4338
11:33:43,4264
11:33:44,4395
11:33:45,4328
