distance,Concentrat,strassenkl,dtvw_kfz_m,dtvw_lkw_m,traff_mean
19850.000000000000000,5312.000000,III,11766.666667,343.333333,14513.333333
19950.000000000000000,3819.000000,III,11500.000000,340.000000,14220.000000
20050.000000000000000,3930.000000,III,11500.000000,340.000000,14220.000000
20150.000000000000000,8282.000000,III,11500.000000,340.000000,14220.000000
20250.000000000000000,7583.000000,III,11500.000000,340.000000,14220.000000
20350.000000000000000,8305.000000,III,11500.000000,340.000000,14220.000000
20450.000000000000000,9349.000000,III,11500.000000,340.000000,14220.000000
20550.000000000000000,4359.000000,III,11633.333333,356.666667,14486.666667
20650.000000000000000,4435.000000,V,11766.666667,373.333333,14753.333333
20750.000000000000000,5232.000000,III,11900.000000,390.000000,15020.000000
20850.000000000000000,6059.000000,III,22300.000000,1106.666667,31153.333333
20950.000000000000000,6282.500000,II,22300.000000,1106.666667,31153.333333
21050.000000000000000,15261.000000,II,33900.000000,1925.000000,49300.000000
21150.000000000000000,14947.500000,III,33900.000000,1925.000000,49300.000000
21250.000000000000000,12098.000000,III,,,
21350.000000000000000,8470.000000,III,,,
21450.000000000000000,8236.000000,III,,,
21550.000000000000000,10992.000000,III,,,
21650.000000000000000,8598.500000,III,,,
21750.000000000000000,9787.000000,III,,,
21850.000000000000000,11608.000000,III,,,
21950.000000000000000,11992.000000,III,,,
22050.000000000000000,10090.500000,III,,,
22150.000000000000000,9607.000000,III,,,
22250.000000000000000,8332.000000,III,,,
22350.000000000000000,9082.000000,III,,,
22450.000000000000000,7761.000000,III,,,
22550.000000000000000,7989.500000,III,,,
22650.000000000000000,7533.000000,III,,,
22750.000000000000000,5583.500000,III,14466.666667,593.333333,19213.333333
22850.000000000000000,7592.000000,III,14950.000000,675.000000,20350.000000
22950.000000000000000,19165.500000,III,14250.000000,662.500000,19550.000000
23050.000000000000000,6966.000000,III,14250.000000,662.500000,19550.000000
23150.000000000000000,5964.500000,III,15000.000000,650.000000,20200.000000
23250.000000000000000,7122.000000,III,15000.000000,650.000000,20200.000000
23350.000000000000000,7799.000000,V,15000.000000,650.000000,20200.000000
23450.000000000000000,5215.000000,V,,,
23550.000000000000000,5417.000000,V,,,
23650.000000000000000,4642.000000,V,,,
23750.000000000000000,4668.000000,V,,,
23850.000000000000000,6186.500000,V,,,
23950.000000000000000,5919.000000,V,,,
24050.000000000000000,,V,,,
24150.000000000000000,5408.000000,V,,,
24250.000000000000000,5438.000000,V,,,
24350.000000000000000,5643.500000,V,,,
24450.000000000000000,5046.000000,V,,,
24550.000000000000000,4890.000000,V,,,
24650.000000000000000,4588.000000,V,20800.000000,1130.000000,29840.000000
24750.000000000000000,4583.000000,II,20800.000000,1130.000000,29840.000000
24850.000000000000000,3246.000000,II,20800.000000,1130.000000,29840.000000
24950.000000000000000,4045.000000,II,20800.000000,1130.000000,29840.000000
25050.000000000000000,5129.000000,II,20800.000000,1130.000000,29840.000000
25150.000000000000000,5056.000000,II,20800.000000,1130.000000,29840.000000
25250.000000000000000,4829.000000,II,20800.000000,1130.000000,29840.000000
25350.000000000000000,4812.500000,V,20800.000000,1130.000000,29840.000000
25450.000000000000000,4853.000000,V,,,
25550.000000000000000,4869.000000,V,,,
25650.000000000000000,4942.000000,V,,,
25750.000000000000000,4930.000000,V,,,
25850.000000000000000,4945.000000,V,,,
25950.000000000000000,5061.000000,V,,,
26050.000000000000000,5350.000000,V,,,
26150.000000000000000,5313.000000,V,,,
26250.000000000000000,5360.000000,V,15300.000000,390.000000,18420.000000
26350.000000000000000,7145.000000,III,15300.000000,390.000000,18420.000000
26450.000000000000000,5732.500000,III,15300.000000,390.000000,18420.000000
26550.000000000000000,5862.500000,III,15150.000000,520.000000,19310.000000
26650.000000000000000,6005.000000,III,15150.000000,520.000000,19310.000000
26750.000000000000000,7634.000000,III,15000.000000,650.000000,20200.000000
26850.000000000000000,5934.500000,III,15000.000000,650.000000,20200.000000
26950.000000000000000,8780.000000,III,14250.000000,662.500000,19550.000000
27050.000000000000000,19681.500000,III,14250.000000,662.500000,19550.000000
27150.000000000000000,6668.000000,III,10600.000000,590.000000,15320.000000
27250.000000000000000,6214.000000,III,10600.000000,590.000000,15320.000000
27350.000000000000000,7109.000000,III,9800.000000,505.000000,13840.000000
27450.000000000000000,7917.000000,III,9800.000000,505.000000,13840.000000
27550.000000000000000,6665.500000,III,7950.000000,330.000000,10590.000000
27650.000000000000000,6807.000000,III,7950.000000,330.000000,10590.000000
27750.000000000000000,5995.000000,III,6900.000000,240.000000,8820.000000
27850.000000000000000,6262.500000,III,7350.000000,255.000000,9390.000000
